date,venue,bat_team,bowl_team,ball,overs,runs,runs_last_5,wickets_last_5,wickets,total
2016-02-04,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,1,0.1,0,0,0,0,128
2016-02-04,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,2,0.2,0,0,0,0,128
2016-02-04,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,3,0.3,0,0,0,0,128
2016-02-04,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,4,0.4,0,0,0,0,128
2016-02-04,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,5,0.5,0,0,0,0,128
2016-02-04,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,6,0.6,0,0,0,0,128
2016-02-04,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,1,1.1,0,0,0,0,128
2016-02-04,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,2,1.2,1,1,0,0,128
2016-02-04,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,3,1.3,3,3,0,0,128
2016-02-04,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,4,1.4,3,3,0,0,128
2016-02-04,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,5,1.5,3,3,0,0,128
2016-02-04,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,6,1.6,5,5,0,0,128
2016-02-04,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,1,2.1,6,6,0,0,128
2016-02-04,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,2,2.2,10,10,0,0,128
2016-02-04,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,3,2.3,10,10,0,0,128
2016-02-04,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,4,2.4,10,10,0,0,128
2016-02-04,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,5,2.5,10,10,0,0,128
2016-02-04,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,6,2.6,11,11,0,0,128
2016-02-04,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,1,3.1,11,11,0,0,128
2016-02-04,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,2,3.2,11,11,0,0,128
2016-02-04,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,3,3.3,12,12,0,0,128
2016-02-04,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,4,3.4,12,12,0,0,128
2016-02-04,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,5,3.5,12,12,0,0,128
2016-02-04,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,6,3.6,12,12,0,0,128
2016-02-04,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,1,4.1,13,13,0,0,128
2016-02-04,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,2,4.2,13,13,0,0,128
